Time,Volt,Current,T1,T2,Ch_T,Ch_H
0.18,3.641,15.923,29.26,29.27,0.000,0.000
2.50,3.593,15.920,29.22,29.25,0.000,0.000
4.69,3.594,15.920,29.24,29.28,0.000,0.000
6.89,3.596,15.921,29.25,29.25,0.000,0.000
9.08,3.597,15.920,29.48,29.24,0.000,0.000
11.28,3.598,15.920,29.25,29.26,0.000,0.000
13.47,3.599,15.920,29.76,29.31,0.000,0.000
15.66,3.600,15.920,29.23,29.24,0.000,0.000
17.86,3.601,15.920,29.21,29.23,0.000,0.000
20.05,3.602,15.920,29.22,29.25,0.000,0.000
22.25,3.603,15.921,29.22,29.24,0.000,0.000
24.44,3.604,15.920,29.29,29.82,0.000,0.000
26.64,3.605,15.920,29.26,29.26,0.000,0.000
28.83,3.605,15.920,29.23,29.28,0.000,0.000
31.03,3.606,15.920,29.26,29.28,0.000,0.000
33.22,3.606,15.920,29.26,29.25,0.000,0.000
35.42,3.607,15.920,29.22,29.27,0.000,0.000
37.61,3.608,15.921,29.26,29.27,0.000,0.000
39.81,3.609,15.921,29.24,29.26,0.000,0.000
42.00,3.609,15.920,29.26,29.26,0.000,0.000
44.19,3.610,15.921,29.26,29.27,0.000,0.000
46.39,3.611,15.922,29.24,29.27,0.000,0.000
48.58,3.611,15.920,29.25,29.27,0.000,0.000
50.78,3.612,15.920,29.25,29.26,0.000,0.000
52.97,3.613,15.920,29.25,29.26,0.000,0.000
55.17,3.613,15.921,29.26,29.27,0.000,0.000
57.36,3.614,15.921,29.26,29.34,0.000,0.000
59.56,3.615,15.920,29.27,29.28,0.000,0.000
61.75,3.615,15.920,29.24,29.28,0.000,0.000
